"Path","Method","Name","File","Line"
"/employees/pending-onboarding","GET","employees.pending-onboarding","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","499"
"/employees/stats","GET","employees.stats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","701"
"/employee-skills/{employeeId}","POST","employee.skills.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","297"
"/employee-skills/{employeeId}/{skillId}","DELETE","employee.skills.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","300"
"/employee-skills/{employeeId}/{skillId}/verify","POST","employee.skills.verify","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","299"
"/engagement","GET","engagement","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","914"
"/experience/delete","DELETE","experience.delete","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","634"
"/experience/update","POST","experience.update","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","633"
"/forecast","GET","forecast","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1113"
"/get-absent-users-for-date","GET","getAbsentUsersForDate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","599"
"/get-all-users-attendance-for-date","GET","getAllUsersAttendanceForDate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","597"
"/get-client-ip","GET","getClientIp","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","600"
"/get-current-user-attendance-for-date","GET","getCurrentUserAttendanceForDate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","576"
"/get-present-users-for-date","GET","getPresentUsersForDate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","598"
"/holidays","GET","holidays","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","604"
"/holidays-add","POST","holidays-add","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","605"
"/holidays-delete","DELETE","holidays-delete","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","606"
"/holidays-legacy","GET","holidays-legacy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","609"
"/hr-analytics","GET","hr-analytics.index","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","404"
"/image/remove","DELETE","image.remove","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","645"
"/image/upload","POST","image.upload","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","644"
"/insights","GET","insights","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","917"
"/insights/{insight}/resolve","POST","insights.resolve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","918"
"/leave-add","POST","leave-add","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","564"
"/leave-delete","DELETE","leave-delete","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","566"
"/leaves","GET","leaves","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","650"
"/leaves/{id}/approve","POST","leaves.approve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","671"
"/leaves/{id}/reject","POST","leaves.reject","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","672"
"/leaves/analytics","GET","leaves.analytics","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","659"
"/leaves/balances","GET","leaves.balances","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","569"
"/leaves/bulk","DELETE","leaves.bulk.delete","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","685"
"/leaves/bulk/calendar-data","GET","leaves.bulk.calendar-data","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","680"
"/leaves/bulk/leave-types","GET","leaves.bulk.leave-types","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","679"
"/leaves/bulk/validate","POST","leaves.bulk.validate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","677"
"/leaves/bulk-approve","POST","leaves.bulk-approve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","667"
"/leaves/bulk-reject","POST","leaves.bulk-reject","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","668"
"/leaves/pending-approvals","GET","leaves.pending-approvals","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","662"
